Date,WeekC,Location,FB-S UR,FB-S CK,FB-S OB,FB-M UR,FB-M CK,FB-M OB,FB-Fz UR,FB-Fz CK,FB-Fz OB,BL-MS UR,BL-MS CK,BL-MS OB,CR-M UR,CR-M CK,CR-M OB,CR-H UR,CR-H CK,CR-H OB,ST-CR UR,ST-CR CK,ST-CR OB,ST-BL UR,ST-BL CK,ST-BL OB,CR-LG UR,CR-LG CK,CR-LG OB,Direct Labor,Temp Labor,Direct Overtime Pellet,Indirect Labor,Indirect Overtime Pellet,OT % Pellet
01-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
01-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
02-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,CHI,,,,,,,,,,162508,130332,39410,198137,151880,45730,19235,19230,6930,14674,4104,1295,,,,,,,288,160,,,,
03-Jan-17,01-Jan-17,MEX,22853.08019,0,0,6133.158252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,,7,,
03-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,CHI,148560,109472,37520,,,,,,,,36036,11060,179135,184943,55750,2092,2092,735,16427,16752,5425,15375,15372,4840,,,,290,116,,,,
04-Jan-17,01-Jan-17,MEX,24179.98743,23029.48014,7909.503422,21311.40217,30528.66601,9927.801905,12172.84206,8589.94889,2922.178743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,,7,,
04-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,CHI,,40257,14070,152425,137791,46130,,,,56944,,,135275,167470,52520,28204,20030,7035,,10075,3395,,,,11668,11660,3850,308,78,,,,
05-Jan-17,01-Jan-17,MEX,25675.39118,24102.34191,8082.012276,22016.53901,21950.40143,6691.469657,11850.75204,10140.87514,3971.010533,6239.860214,6239.860214,1439.043512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,,7,,
05-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,CHI,92131,90994,29400,,14697,4760,,,,119022,174423,53760,,8535,2710,26542,34810,12390,,,,,,,,,,293,36,,,,
06-Jan-17,01-Jan-17,MEX,40092.22622,33780.58468,11730.05096,29821.65528,15206.57285,4845.680028,0,5292.770069,2103.175044,6177.911348,6177.911348,1489.74899,0,0,0,0,0,0,0,0,0,0,0,0,3791.88792,3791.88792,1294.091982,31,8,,7,,
06-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,MEX,3046.925242,34934.13431,12500.55377,3805.115436,15402.11963,5219.357355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,,7,,
07-Jan-17,01-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-17,01-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
08-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,CHI,,,,50782,7284,2800,,,,116636,116865,34370,192032,144845,43560,5924,2076,770,29047,16288,4970,,,,,,,273,72,,,,
09-Jan-17,08-Jan-17,MEX,15458.16021,0,0,21247.49123,9032.188842,3107.915114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
09-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,CHI,10360,10367,3850,138299,149147,53830,,,,17011,,,170708,187726,56550,9968,3848,1400,20534,27144,8785,,,,,,,290,88,,,,
10-Jan-17,08-Jan-17,MEX,9897.797489,25358.16228,8603.396865,0,12216.71332,3983.686902,3294.974236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
10-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,CHI,91278,91379,27860,,32792,11200,,,,148149,143892,44660,70822,53879,16340,24002,23856,8400,,6306,1925,,,,,,,298,56,,,,
11-Jan-17,08-Jan-17,MEX,46401.02384,8551.258406,2725.970589,9885.363624,9885.363624,3472.774097,27801.59313,31095.68553,11218.03586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
11-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,CHI,41126,41323,13720,22753,22742,7910,,,,51550,73634,21770,91255,139487,42670,32329,30435,11060,,,,,,,,,,294,38,,,,
12-Jan-17,08-Jan-17,MEX,31295.86194,69143.40074,22083.88911,41926.59609,0,0,0,0,0,3150.794311,3150.794311,565.476309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
12-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,CHI,74150,73964,25130,,,,,,,46444,45150,13440,39474,39171,11750,11704,23652,7805,14660,14656,4760,,,,,,,284,16,,,,
13-Jan-17,08-Jan-17,MEX,0,0,0,38959.44379,75013.02278,25319.11906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
13-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,MEX,21906.64039,21906.64039,6757.607237,5978.837232,11851.85434,4255.953273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,7,,
14-Jan-17,08-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-17,08-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,MEX,27779.98819,0,0,25178.57671,9076.280562,3050.044731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
16-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-17,15-Jan-17,CHI,,,,,,,,,,154282,113134,31850,168099,126598,37930,,,,33811,14872,4410,,,,,,,296,64,,,,
17-Jan-17,15-Jan-17,MEX,35919.3197,18742.66266,5428.241879,7003.969722,16102.07569,4881.504551,0,0,0,9035.870501,9035.870501,2789.903583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
17-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-17,15-Jan-17,CHI,40618,,,165963,126805,47110,,,,,39540,11900,136959,181087,54380,,,,30728,29055,9065,,,,,,,282,72,,,,
18-Jan-17,15-Jan-17,MEX,18886.68826,20195.55097,5911.597359,0,7004.851556,2289.462561,3657.408174,0,0,27128.86371,27128.86371,7488.978642,0,0,0,0,0,0,0,0,0,0,0,0,7583.77584,7583.77584,2283.951096,32,8,,7,,
18-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-17,15-Jan-17,CHI,140457,151928,48720,,40739,14000,,,,170142,123336,37100,,,,12024,,,19983,32640,10745,,,,,,,282,40,,,,
19-Jan-17,15-Jan-17,MEX,45859.79797,41427.54396,15432.102,24126.98918,24127.36396,8878.970115,0,3656.989303,1680.004761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
19-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-17,15-Jan-17,CHI,,28152,10500,,,,6220,6812,2660,120709,168623,51030,109386,107310,32230,,12024,4445,43429,51365,16695,,,,,,,282,57,,,,
20-Jan-17,15-Jan-17,MEX,18939.59833,41699.25918,11803.35344,29010.14717,29009.26534,10478.39726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
20-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-17,15-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-17,15-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-17,15-Jan-17,MEX,0,25320.7725,7927.691256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,7,,
21-Jan-17,15-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-17,15-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-17,22-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-17,22-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
22-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jan-17,22-Jan-17,CHI,,,,162038,126770,45710,,,,,,,185176,148651,45590,21899,2069,665,,,,,,,,,,294,32,,,,
23-Jan-17,22-Jan-17,MEX,30730.01085,6206.681195,2263.823226,3974.868558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,,7,,
23-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-17,22-Jan-17,CHI,,,,22268,36390,13860,,,,260458,239960,72730,35517,36761,11480,30333,37715,13650,,,,,,,,,,315,38,,,,
24-Jan-17,22-Jan-17,MEX,29947.53714,51337.26826,16397.15952,39223.22251,21957.67656,7501.103865,4325.397732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
24-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-17,22-Jan-17,CHI,70811,69886,21350,81052,62607,20300,,,,,20524,6370,,35705,11010,33498,45182,15645,91236,63025,20020,,,,,,,319,24,,,,
25-Jan-17,22-Jan-17,MEX,51243.04425,41567.95404,13008.15969,32998.52984,21240.63496,7236.002399,0,4324.405668,1556.988863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
25-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-17,22-Jan-17,CHI,,,,168078,170791,55930,,,,,,,181509,133073,38890,,,,32830,52256,17430,,,,,,,300,48,,,,
26-Jan-17,22-Jan-17,MEX,60313.85744,35686.93429,12330.2495,3009.25989,36008.60543,12979.50008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
26-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-17,22-Jan-17,CHI,56544,56436,18130,,41250,15400,,,,183966,183396,56490,38846,86103,27310,,,,30606,41058,13545,,,,,,,290,48,,,,
27-Jan-17,22-Jan-17,MEX,0,37436.97875,11975.31115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,,7,,
27-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-17,22-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-17,22-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-17,22-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28-Jan-17,22-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-17,22-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-17,29-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-17,29-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29-Jan-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-17,29-Jan-17,CHI,,,,140440,107220,35000,,,,150770,116532,33810,,,,,,,18215,7880,2660,,,,,,,289,144,,,,
30-Jan-17,29-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,7,,
30-Jan-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jan-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jan-17,29-Jan-17,CHI,158664,116387,38150,,33215,11900,,,,,35486,10990,90631,47125,14170,61588,61028,16870,20551,19790,6510,11558,11524,3640,,,,297,175,,,,
31-Jan-17,29-Jan-17,MEX,34024.5962,0,0,6007.49685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
31-Jan-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jan-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-17,29-Jan-17,CHI,,43222,14000,138308,119709,41510,,,,21905,,,163122,159896,48000,,,,34338,26910,8995,19465,19074,6160,,,,309,72,,,,
01-Feb-17,29-Jan-17,MEX,17598.6148,34110.23643,10652.55955,56584.66794,40647.49529,13613.8697,1595.899805,1595.899805,630.9525132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
01-Feb-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-17,29-Jan-17,CHI,,,,59381,19306,7700,,,,146310,154170,47390,139506,184922,57040,,,,29830,28266,9450,,,,,,,288,72,,,,
02-Feb-17,29-Jan-17,MEX,5909.855736,23422.49168,8089.728327,46377.45681,48690.04548,17942.57431,0,0,0,0,0,0,0,0,0,18474.43068,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
02-Feb-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-17,29-Jan-17,CHI,,,,97010,154845,52500,,,,60625,77784,23310,,,,34389,34210,9590,18520,38179,12145,,,,,,,262,32,,,,
03-Feb-17,29-Jan-17,MEX,0,0,0,15847.446,35479.94571,10843.80739,0,0,0,0,0,0,0,0,0,0,18475.31251,5949.93511,0,0,0,0,0,0,0,0,0,16,,,7,,
03-Feb-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-17,29-Jan-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-17,29-Jan-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-17,29-Jan-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
04-Feb-17,29-Jan-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-17,29-Jan-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-17,05-Feb-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-17,05-Feb-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
05-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-17,05-Feb-17,CHI,,,,33228,,,,,,128562,128477,39620,182116,148373,44790,,,,28732,16304,5215,,,,,,,273,48,,,,
06-Feb-17,05-Feb-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
06-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-17,05-Feb-17,CHI,,,,133184,120701,42630,,,,,,,156235,151821,46440,,,,28585,24588,7700,,,,,,,301,48,,,,
07-Feb-17,05-Feb-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,7,,
07-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-17,05-Feb-17,CHI,,,,92954,96822,34300,,,,166060,130260,38710,,40611,12900,64994,64953,16310,32538,32512,10535,,,,,,,292,48,,,,
08-Feb-17,05-Feb-17,MEX,31983.00935,17183.62353,5945.217296,3128.96891,0,0,0,0,0,18489.86278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,,7,,
08-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-17,05-Feb-17,CHI,,,,148589,168683,56420,,,,111091,148544,42980,40270,,,,,,34921,32560,10115,,,,,,,290,32,,,,
09-Feb-17,05-Feb-17,MEX,32989.11626,14785.76148,4638.448944,44275.91316,41417.55718,14740.41314,0,0,0,0,18491.73668,5599.64844,0,0,0,0,0,0,0,0,0,2843.91594,0,0,0,0,0,32,,,7,,
09-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-17,05-Feb-17,CHI,,,,,23816,8820,,,,,,,,38382,11980,,,,,18714,5775,,,,,,,106,32,,,,
10-Feb-17,05-Feb-17,MEX,2984.01738,35986.49343,12455.35975,25806.55303,31793.76769,10011.57617,0,0,0,2985.009444,2984.01738,867.504591,0,0,0,0,0,0,0,0,0,0,2843.91594,998.7215497,0,0,0,32,,,7,,
10-Feb-17,05-Feb-17,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-17,05-Feb-17,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-17,05-Feb-17,CAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-17,05-Feb-17,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-17,05-Feb-17,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
