Location,Date,Pork Skins Large,PS Total FG LBS,PS Seasoning Used,PS Actual FG LBS,PS Fried Lbs,PS Waste Lbs,PS Overweight reported,PS % Waste,PS Yield,% Bellies Used,ST Fried Lbs,ST Finished Goods Lbs,Mix Fix lbs Produced,Cheese Curls lbs Used,% Cheese Product,ST Waste Lbs,ST % Waste,ST Yield,CR Fried Lbs,CR Finished Goods Lbs,CR Waste Lbs,CR % Waste,CR Yield,TR Fried Lbs,TR Finished Goods Lbs,TR Waste Lbs,TR % Waste,TR Yield,BL Fried Lbs,BL Finished Goods Lbs,BL Waste Lbs,BL % Waste,BL Yield,RTE CR Fried Lbs,RTE CR Finished Goods Lbs,RTE CR Waste Lbs,RTE CR % Waste,RTE CR Yield,CR TT Fried Lbs,CR TT Finished Goods Lbs,Cheese Curls lbs Used1,CR TT Waste Lbs,CR TT % Waste,CR TT Yield,TT Fried Lbs Total,TT Finished Goods Lbs Total,Finished Goods CASES Total,TT Bags Produced,Daily Changeovers,MH Trainings,MH Direct for Clips/Displays,MH Direct for Bulk,H Prod Hrs Used For Maint,MH Direct Labor,MH Indirect Labor,Productivity,PRd Fried Direct Labor lbs/hr,Prd Fried Indirect Labor lbs/hr,Prd FG Direct Labor lbs/hr,Prd FG Indirect Labor lbs/hr,Prd Bags/hr Direct Labor,Prd Bags/hr Indirect Labor,WeekC,Incidents (blank or # of recordable incidents that day),Days safe (No need to type anything),IFR (No need to type anything),"Training compliance (fill #actual / #plan %, monthly)",Comments Safety,Comments on intiatives,NR's (weekly),Complaints (weekly),"Holds (weekly, number)",Comments on Quality,OTIF,Cases cut,Outages,Comments on Service,Comments on Lbs & Yields,Comments on productivity,Comments on pellets Lbs & Yields
CAL,27-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,8960,8360,,,,38,0.45%,93.30%,8960,8360,836,0.45%,93.30%,,,,,,,,,,,,,,,,8960,8360,0,38,0.45%,93.30%,8960,8360,836,836,1,,,,,48.25,51,,185.70,175.686274509804,173.26,163.921568627451,17.33,16.3921568627451,22-Apr-18,,16,,,,,,,,,,,,,,,
CAL,26-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,5200,5391,,,,12,0.22%,103.67%,5200,5391,1400,0.22%,103.67%,,,,,,,,,,,,,,,,5200,5391,0,12,0.22%,103.67%,5200,5391,1400,31568,5,,,,,63.25,50.5,,82.21,102.970297029703,85.23,106.752475247525,499.10,625.108910891089,22-Apr-18,,15,,,,,,,,,,,,,,,
CAL,25-Apr-18,,5039,,5039,3647,32,,0.64%,138.17%,27.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3647,5039,2470,27720,5,,,,,64.75,50.5,,56.32,72.2178217821782,77.82,99.7821782178218,428.11,548.910891089109,22-Apr-18,,14,,,,,,,,,,,,,,,
CAL,24-Apr-18,,4565,,4565,3274,50,,1.10%,139.43%,32.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3274,4565,2010,24120,5,,,,,51.5,50.25,,63.57,65.1542288557214,88.64,90.8457711442786,468.35,480,22-Apr-18,,13,,,,,,,,,,,,,,,
CAL,23-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,1760,1680,,,,10,0.60%,95.45%,9600,10054,1020,0.40%,104.73%,,,,,,,,,,,,,,,,9600,10054,0,40,0.40%,104.73%,9600,10054,1020,9766,6,,32.5,,,85,52.25,,112.94,183.732057416268,118.28,192.421052631579,114.89,186.909090909091,22-Apr-18,,12,,,,,,,,,,,,,,,
CAL,22-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,22-Apr-18,,11,,,We had no incidents last week. The employee with restrictions return to full duty on 4/28,,,,,"While we were packing a packer used a box with a wrong label, different than the product she was packing.",,,,No issue on last week orders.,"We have good yields last week, we are still struggling with the bag fill. Right now the product from COI is helping us to have good bag fill with the seasoned product, the orignal clear bag we are reducing the amount of bellies and mixing more large to ha","Better productivity numbers, driven by the use of cracklins last week.",
CAL,21-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,2960,3192,,,,18,0.56%,107.84%,2960,3192,1216,0.56%,107.84%,,,,,,,,,,,,,,,,2960,3192,0,18,0.56%,107.84%,2960,3192,1216,29184,3,,34,,,87.5,47.5,% OT,33.83,62.3157894736842,36.48,67.2,333.53,614.4,15-Apr-18,,10,,,,,,,,,,,,,,,
CAL,20-Apr-18,,0,,0,,,,#DIV/0!,#DIV/0!,,9465,9160,,,,34,0.37%,96.78%,9465,9160,916,0.37%,96.78%,,,,,,,,,,,,,,,,9465,9160,0,34,0.37%,96.78%,9465,9160,916,916,1,,25.75,,,80,50,,118.31,189.3,114.50,183.2,11.45,18.32,15-Apr-18,,9,,,,,,,,,,,,,,,
CAL,19-Apr-18,,3792,,3792,2450,24,,0.63%,154.78%,100.00%,1000,1005,,,,,0.00%,100.50%,1000,1005,383,0.00%,100.50%,,,,,,,,,,,,,,,,1000,1005,0,0,0.00%,100.50%,3450,4797,2214,29996,3,,94.75,,,160.25,51.25,,21.53,67.3170731707317,29.93,93.6,187.18,585.287804878049,15-Apr-18,,8,,,,,,,,,,,,,,,
CAL,18-Apr-18,,3645,,3645,2532,98,,2.69%,143.96%,55.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,2532,3645,1908,24028,6,,94.5,,,159.75,52.25,,15.85,48.4593301435407,22.82,69.7607655502392,150.41,459.866028708134,15-Apr-18,,7,,,,,,,,,,,,,,,
CAL,17-Apr-18,,5569,,5569,3780,36,,0.65%,147.33%,74.00%,,,,,,,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!,3780,5569,2475,29700,1,,85,,,149.25,49.5,,25.33,76.3636363636364,37.31,112.505050505051,198.99,600,15-Apr-18,,6,,,,,,,,,,,,,,,
