Location,Date,Pork Skins Large,PS Total FG LBS,PS Seasoning Used,PS Actual FG LBS,PS Fried Lbs,PS Waste Lbs,PS Overweight reported,PS % Waste,PS Yield,% Bellies Used,ST Fried Lbs,ST Finished Goods Lbs,Mix Fix lbs Produced,Cheese Curls lbs Used,% Cheese Product,ST Waste Lbs,ST % Waste,ST Yield,CR Fried Lbs,CR Finished Goods Lbs,CR Waste Lbs,CR % Waste,CR Yield,TR Fried Lbs,TR Finished Goods Lbs,TR Waste Lbs,TR % Waste,TR Yield,BL Fried Lbs,BL Finished Goods Lbs,BL Waste Lbs,BL % Waste,BL Yield,RTE CR Fried Lbs,RTE CR Finished Goods Lbs,RTE CR Waste Lbs,RTE CR % Waste,RTE CR Yield,CR TT Fried Lbs,CR TT Finished Goods Lbs,Cheese Curls lbs Used1,CR TT Waste Lbs,CR TT % Waste,CR TT Yield,TT Fried Lbs Total,TT Finished Goods Lbs Total,Finished Goods CASES Total,TT Bags Produced,Daily Changeovers,MH Trainings,MH Direct for Clips/Displays,MH Direct for Bulk,H Prod Hrs Used For Maint,MH Direct Labor,MH Indirect Labor,Productivity,PRd Fried Direct Labor lbs/hr,Prd Fried Indirect Labor lbs/hr,Prd FG Direct Labor lbs/hr,Prd FG Indirect Labor lbs/hr,Prd Bags/hr Direct Labor,Prd Bags/hr Indirect Labor,WeekC,Incidents (blank or # of recordable incidents that day),Days safe (No need to type anything),IFR (No need to type anything),"Training compliance (fill #actual / #plan %, monthly)",Comments Safety,Comments on intiatives,NR's (weekly),Complaints (weekly),"Holds (weekly, number)",Comments on Quality,OTIF,Cases cut,Outages,Comments on Service,Comments on Lbs & Yields,Comments on productivity,Comments on pellets Lbs & Yields
CHI,30-Jun-18,,4278,,4278,3640,,,,117.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3640,4278,,,,,,,,0.72,,,"5,055.56",,"5,941.67",,"8,688.89",,24-Jun-18,,44,,,,,,,,,,,,,,,
CHI,29-Jun-18,,4002,,4002,2873,,,,139.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2873,4002,,,,,,,,81,,,35.47,,49.41,,90.17,,24-Jun-18,,43,,,,,,,,,,,,,,,
CHI,28-Jun-18,,5701.5,,5701.5,5250,,,,108.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5250,5701.5,,,,,,,,72,,,72.92,,79.19,,70.39,,24-Jun-18,,42,,,,,,,,,,,,,,,
CHI,27-Jun-18,,8797.5,,8797.5,6580,,,,133.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6580,8797.5,,,,,,,,81,,,81.23,,108.61,,96.54,,24-Jun-18,,41,,,,,,,,,,,,,,,
CHI,26-Jun-18,,8487,,8487,7000,,,,121.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7000,8487,,,,,,,,81,,,86.42,,104.78,,93.14,,24-Jun-18,,40,,,,,,,,,,,,,,,
CHI,25-Jun-18,,5460,,5460,4550,,,,120.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4550,5460,,,,,,,,90,,,50.56,,60.67,,90.67,,24-Jun-18,,39,,,,,,,,,,,,,,,
CHI,24-Jun-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,24-Jun-18,,38,,,no incedents no accidents,German  work on the new formula for the 9x1 Strips also test diferent types of Skins to get more volume of pellets,,,,,,,,,,,
CHI,23-Jun-18,,6067.5,,6067.5,5040,,,,120.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5040,6067.5,,,,,,,,72,,,70.00,,84.27,,103.06,,17-Jun-18,,37,,,,,,,,,,,,,,,
CHI,22-Jun-18,,9180,,9180,7140,,,,128.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7140,9180,,,,,,,,90,,,79.33,,102.00,,90.67,,17-Jun-18,,36,,,,,,,,,,,,,,,
CHI,21-Jun-18,,9522,,9522,7770,,,,122.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7770,9522,,,,,,,,72,,,,,,,,,17-Jun-18,,35,,,,,,,,,,,,,,,
CHI,20-Jun-18,,9522,,9522,7560,,,,126.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7560,9522,,,,,,,,90,,,105.00,,132.25,,117.56,,17-Jun-18,,34,,,,,,,,,,,,,,,
CHI,19-Jun-18,,9625.5,,9625.5,7420,,,,129.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7420,9625.5,,,,,,,,90,,,82.44,,106.95,,95.07,,17-Jun-18,,33,,,,,,,,,,,,,,,
CHI,18-Jun-18,,10143,,10143,7420,,,,136.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7420,10143,,,,,,,,90,,,82.44,,112.70,,100.18,,17-Jun-18,,32,,,,,,,,,,,,,,,
CHI,17-Jun-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-,,-,,-,,17-Jun-18,,31,,,"No incidents or accidents for this week. Safety walk was performed in the Cellophane Room, Barrel departmen and Old Cooler. Findigs are as follow;  Electrical pannel & Exit blocked, Electrical juction box missing cover, Emergency alarm box broken,Cellopha","Last Friday we had a training sesion with the guys from all three shifts from the cooking deparment,  to go over the deficiencies we have with the 1 X 9 cracklin, go over the proper loading, cooking, unloading and packaging procedures and also get feedbac",,,,"1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. listeria results nr remains open. Enforcinghand washing in all departments.
14 seasoning on hold for micro and salt testing.",,,,,,,
CHI,16-Jun-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-18,,30,,,,,,,,,,,,,,,
CHI,15-Jun-18,,7432.5,,7432.5,6020,,,,123.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6020,7432.5,,,,,,,,90,,,66.89,,82.58,,90.00,,10-Jun-18,,29,,,,,,,,,,,,,,,
CHI,14-Jun-18,,9729,,9729,7560,,,,128.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7560,9729,,,,,,,,90,,,84.00,,108.10,,96.09,,10-Jun-18,,28,,,,,,,,,,,,,,,
CHI,13-Jun-18,,9418.5,,9418.5,7700,,,,122.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7700,9418.5,,,,,,,,90,,,85.56,,104.65,,93.24,,10-Jun-18,,27,,,,,,,,,,,,,,,
CHI,12-Jun-18,,6892.5,,6892.5,5600,,,,123.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5600,6892.5,,,,,,,,90,,,62.22,,76.58,,123.78,,10-Jun-18,,26,,,,,,,,,,,,,,,
CHI,11-Jun-18,,8946,,8946,7000,,,,127.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7000,8946,,,,,,,,90,,,77.78,,99.40,,117.69,,10-Jun-18,,25,,,,,,,,,,,,,,,
CHI,10-Jun-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-18,,24,,,"No incidents or accidents for this week, safety walk performed in the Pellet Production department findings: Cooker, pellet conveyor and Cooker electrical disconnect on the ground.  Several cooker with steam leaks, centrifuge motor cables exposed, portabl","Safety talk to employees before starting of days, talked to Sanitation employees regarding Pre-Op inspections and the importance to properly clean all equipment and better handling of equipment in a sanitary way. We also made employees aware of Nrs we are",,,,1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. listeria results nr remains open 3. Nr was given for labeling boxes with product not labeled. 4. nr given for broken light covered in w,,,,,,,
CHI,09-Jun-18,,5422.5,,5422.5,4410,,,,123.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4410,5422.5,,,,,,,,,,,,,,,,,03-Jun-18,,22,,,,,,,,,,,,,,,
CHI,08-Jun-18,,10039.5,,10039.5,7770,,,,129.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7770,10039.5,,,,,,,,90,,,86.33,,111.55,,99.16,,03-Jun-18,,21,,,,,,,,,,,,,,,
CHI,07-Jun-18,,10660.5,,10660.5,8470,,,,125.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,8470,10660.5,,,,,,,,90,,,94.11,,118.45,,105.29,,03-Jun-18,,20,,,,,,,,,,,,,,,
CHI,06-Jun-18,,10867.5,,10867.5,8400,,,,129.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,8400,10867.5,,,,,,,,90,,,93.33,,120.75,,107.33,,03-Jun-18,,19,,,,,,,,,,,,,,,
CHI,05-Jun-18,,5823,,5823,4690,,,,124.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4690,5823,,,,,,,,90,,,52.11,,64.70,,126.84,,03-Jun-18,,18,,,,,,,,,,,,,,,
CHI,04-Jun-18,,7827,,7827,6230,,,,125.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6230,7827,,,,,,,,90,,,69.22,,86.97,,99.82,,03-Jun-18,,17,,,,,,,,,,,,,,,
CHI,03-Jun-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,03-Jun-18,,16,,,"No incidents or accidents for this week. Safety walk for this week was in the Cutting and Cooler department several findings in this area. Cutter electrical plug to strips machine not working, Main electrical box to equipment needs to be tightly closed, M",Talk to 2nd shift employees about safety and to make sure they are using the oldest lots for pellet ingredients.,,,,1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. Nr given for debris on combos.,,,,,,,
CHI,02-Jun-18,,12369,,12369,9800,,,,126.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,9800,12369,,,,,,,,144,,,,,,,,,27-May-18,,16,,,,,,,,,,,,,,,
CHI,01-Jun-18,,8538,,8538,6230,,,,137.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6230,8538,,,,,,,,128,,,,,,,,,27-May-18,,15,,,,,,,,,,,,,,,
CHI,31-May-18,,9057,,9057,7700,,,,117.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7700,9057,,,,,,,,144,,,,,,,,,27-May-18,,14,,,,,,,,,,,,,,,
CHI,30-May-18,,9394.5,,9394.5,7280,,,,129.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7280,9394.5,,,,,,,,144,,,,,,,,,27-May-18,,13,,,,,,,,,,,,,,,
CHI,29-May-18,,14076,,14076,9800,,,,143.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,9800,14076,,,,,,,,144,,,,,,,,,27-May-18,,12,,,,,,,,,,,,,,,
CHI,28-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,27-May-18,,11,,,,,,,,,,,,,,,
CHI,27-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,27-May-18,,10,,,"No incidents or accidents for this week, we had the LOTO training for Cutting employees they did a great job.  Safety walk was perform in the Warehouse A several findings. Oil spillage on the ground, drain not cover, eyewash station not working properly,","Working on Export orders, we have to complete several orders by the end of the month. Meeting with 3rs shift employees about safety",,,,"New NR 4/6/18 due to no corrective action when swab results tested for Listeria resulted suspect.  3  NRS remain open until inspector say otherwise all nrs have been answered.4. Inspector found boxes with out proper labeling.
1x9 gaytan strips quality is",,,,,,,
CHI,26-May-18,,7659,,7659,5950,,,,128.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5950,7659,,,,,,,,64,,,,,,,,,20-May-18,,9,,,,,,,,,,,,,,,
CHI,25-May-18,,8545.5,,8545.5,6510,,,,131.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6510,8545.5,,,,,,,,90,,,,,,,,,20-May-18,,8,,,,,,,,,,,,,,,
CHI,24-May-18,,5859,,5859,4620,,,,126.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4620,5859,,,,,,,,90,,,,,,,,,20-May-18,,7,,,,,,,,,,,,,,,
CHI,23-May-18,,9729,,9729,7630,,,,127.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7630,9729,,,,,,,,90,,,,,,,,,20-May-18,,6,,,,,,,,,,,,,,,
CHI,22-May-18,,9108,,9108,7350,,,,123.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7350,9108,,,,,,,,90,,,,,,,,,20-May-18,,5,,,,,,,,,,,,,,,
CHI,12-May-18,,9729,,9729,7910,,,,123.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7910,9729,,,,,,,,91,,,,,,,,,06-May-18,,20,,,,,,,,,,,,,,,
CHI,11-May-18,,7227,,7227,5740,,,,125.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5740,7227,,,,,,,,36,,,,,,,,,06-May-18,,19,,,,,,,,,,,,,,,
CHI,10-May-18,,544.5,,544.5,420,,,,129.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,420,544.5,,,,,,,,12,,,,,,,,,06-May-18,,18,,,,,,,,,,,,,,,
CHI,09-May-18,,9625.5,,9625.5,7770,,,,123.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7770,9625.5,,,,,,,,48.5,,,,,,,,,06-May-18,,17,,,,,,,,,,,,,,,
CHI,08-May-18,,5764.5,,5764.5,4690,,,,122.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4690,5764.5,,,,,,,,52,,,,,,,,,06-May-18,,16,,,,,,,,,,,,,,,
CHI,07-May-18,,9625.5,,9625.5,7770,,,,123.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7770,9625.5,,,,,,,,48.5,,,,,,,,,06-May-18,,15,,,,,,,,,,,,,,,
CHI,06-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,06-May-18,,14,,,For this week we had 20 days no incidents or accidents. Safety walk big improvement 0 findings in cellophane room and 4 findings in barrel packaging room.,On May 10th we honored all Moms  on their special day we gave out carnations and balloons. Working with Cooks to be more aware of the cooks for better quality on pellet.,,,,1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. Nr given for debris on combos. 3. New NR 4/6/18 due to no corrective action when swab results tested for Listeria resulted suspect.  3,,,,,,,
CHI,05-May-18,,7452,,7452,6090,,,,122.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6090,7452,,,,,,,,0.72,,,"8,458.33",,"10,350.00",,"9,200.00",,29-Apr-18,,11,,,,,,,,,,,,,,,
CHI,04-May-18,,6738,,6738,5600,,,,120.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5600,6738,,,,,,,,90,,,62.22,,74.87,,113.96,,29-Apr-18,,10,,,,,,,,,,,,,,,
CHI,03-May-18,,9004.5,,9004.5,7700,,,,116.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7700,9004.5,,,,,,,,90,,,85.56,,100.05,,88.93,,29-Apr-18,,9,,,,,,,,,,,,,,,
CHI,02-May-18,,9522,,9522,7350,,,,129.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7350,9522,,,,,,,,90,,,81.67,,105.80,,94.04,,29-Apr-18,,8,,,,,,,,,,,,,,,
CHI,01-May-18,,9832.5,,9832.5,8050,,,,122.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,8050,9832.5,,,,,,,,90,,,89.44,,109.25,,97.11,,29-Apr-18,,7,,,,,,,,,,,,,,,
CHI,30-Apr-18,,9418.5,,9418.5,7770,,,,121.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7770,9418.5,,,,,,,,90,,,86.33,,104.65,,93.02,,29-Apr-18,,6,,,,,,,,,,,,,,,
CHI,29-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,29-Apr-18,,5,,,"We had 1 accident on 4/23 Maintenance employee fell of the ladder when performing a job task, since then we have been 13 days without no accidents. Safety walk for this week was the warehouse D only 2 findings on this week.",Had a meeting with employees cooking pellets about to have better control when cooking to make sure we have a better quality and get the pellets we need. Also advice employee to be very careful when draining oil from cookers as a safety precaution.  talke,,,,,,,,,,,
CHI,28-Apr-18,,5395.5,,5395.5,4550,,,,118.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4550,5395.5,,,,,,,,0.72,,,"6,319.44",,"7,493.75",,"10,994.44",,22-Apr-18,,4,,,,,,,,,,,,,,,
CHI,27-Apr-18,,6760.5,,6760.5,5460,,,,123.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5460,6760.5,,,,,,,,90,,,60.67,,75.12,,110.62,,22-Apr-18,,3,,,,,,,,,,,,,,,
CHI,26-Apr-18,,9625.5,,9625.5,7700,,,,125.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7700,9625.5,,,,,,,,90,,,85.56,,106.95,,95.07,,22-Apr-18,,2,,,,,,,,,,,,,,,
CHI,25-Apr-18,,6108,,6108,4900,,,,124.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4900,6108,,,,,,,,90,,,54.44,,67.87,,115.29,,22-Apr-18,,1,,,,,,,,,,,,,,,
CHI,24-Apr-18,,7861.5,,7861.5,6440,,,,122.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6440,7861.5,,,,,,,,90,,,71.56,,87.35,,96.76,,22-Apr-18,1,0,,,,,,,,,,,,,,,
CHI,23-Apr-18,,9625.5,,9625.5,7560,,,,127.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7560,9625.5,,,,,,,,90,,,84.00,,106.95,,95.07,,22-Apr-18,,42,,,,,,,,,,,,,,,
CHI,22-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-18,,41,,,"No accidents for this week . We had 1 incident, one side wheel  of the lorry came out of the monorial, no one was injured . Safety walk for this week was Fryer room and old cooler ares findings: damage electrical cables, conveyor belts are damage and Seve",,,,,1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. Nr given for debris on combos. 3. New NR 4/6/18 due to no corrective action when swab results tested for Listeria resulted suspect.  3,,,,,,,
CHI,21-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-18,,40,,,,,,,,,,,,,,,
CHI,20-Apr-18,,7402.5,,7402.5,5810,,,,127.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5810,7402.5,,,,,,,,90,,,64.56,,82.25,,102.44,,15-Apr-18,,39,,,,,,,,,,,,,,,
CHI,19-Apr-18,,6310.5,,6310.5,5180,,,,121.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5180,6310.5,,,,,,,,90,,,,,,,,,15-Apr-18,,38,,,,,,,,,,,,,,,
CHI,18-Apr-18,,9625.5,,9625.5,7630,,,,126.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7630,9625.5,,,,,,,,90,,,84.78,,106.95,,95.07,,15-Apr-18,,37,,,,,,,,,,,,,,,
CHI,17-Apr-18,,9832.5,,9832.5,7350,,,,133.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7350,9832.5,,,,,,,,90,,,81.67,,109.25,,97.11,,15-Apr-18,,36,,,,,,,,,,,,,,,
CHI,16-Apr-18,,7866,,7866,6090,,,,129.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6090,7866,,,,,,,,72,,,67.67,,87.40,,77.69,,15-Apr-18,,35,,,,,,,,,,,,,,,
CHI,15-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-,,-,,-,,15-Apr-18,,34,,,"No incidents or accidents for this week, safety walk we had several finding in Pellet production area. Electrical panel, Oil indicator controls, Ck01 & Ck02 switch lights don’t work, Exit light several need light bulb replacement, Cooker department equipm",,,,,1.  Cooling unit there was condensation drip found right above tote that contained edible product this remains open  2. Nr given for debris on combos. 3. New NR 4/6/18 due to no corrective action when swab results tested for Listeria resulted suspect. 4.,,,,,,,
CHI,14-Apr-18,,5608.5,,5608.5,4410,,,,127.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4410,5608.5,,,,,,,,72,,,61.25,,77.90,,106.28,,08-Apr-18,,33,,,,,,,,,,,,,,,
CHI,13-Apr-18,,7518,,7518,5670,,,,132.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5670,7518,,,,,,,,72,,,78.75,,104.42,,100.22,,08-Apr-18,,32,,,,,,,,,,,,,,,
CHI,12-Apr-18,,7762.5,,7762.5,6090,,,,127.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6090,7762.5,,,,,,,,72,,,84.58,,107.81,,95.83,,08-Apr-18,,31,,,,,,,,,,,,,,,
CHI,11-Apr-18,,7245,,7245,5320,,,,136.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5320,7245,,,,,,,,72,,,73.89,,100.63,,89.44,,08-Apr-18,,30,,,,,,,,,,,,,,,
CHI,10-Apr-18,,7555.5,,7555.5,5320,,,,142.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5320,7555.5,,,,,,,,72,,,73.89,,104.94,,93.28,,08-Apr-18,,29,,,,,,,,,,,,,,,
CHI,09-Apr-18,,7866,,7866,5670,,,,138.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5670,7866,,,,,,,,72,,,78.75,,109.25,,97.11,,08-Apr-18,,28,,,,,,,,,,,,,,,
CHI,08-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,08-Apr-18,,27,,,"No incidents or accidents for this week. We have 2 loto procedures to finish and we had our weekly safety inspection in Cooler, Chemical roon and Cutting Room.  Our safety walk  finding are , electrical pannels needed bolt adjustments, latters in the area",,,,,,,,,,,,
CHI,07-Apr-18,,5682,,5682,4410,,,,128.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4410,5682,,,,,,,,72,,,61.25,,78.92,,113.11,,01-Apr-18,,26,,,,,,,,,,,,,,,
CHI,06-Apr-18,,7662,,7662,5600,,,,136.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5600,7662,,,,,,,,72,,,77.78,,106.42,,104.22,,01-Apr-18,,25,,,,,,,,,,,,,,,
CHI,05-Apr-18,,7245,,7245,5670,,,,127.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5670,7245,,,,,,,,72,,,78.75,,100.63,,89.44,,01-Apr-18,,24,,,,,,,,,,,,,,,
CHI,04-Apr-18,,10797,,10797,8470,,,,127.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,8470,10797,,,,,,,,129,,,65.66,,83.70,,76.47,,01-Apr-18,,23,,,,,,,,,,,,,,,
CHI,03-Apr-18,,12627,,12627,9940,,,,127.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,9940,12627,,,,,,,,136,,,73.09,,92.85,,82.53,,01-Apr-18,,22,,,,,,,,,,,,,,,
CHI,02-Apr-18,,8937,,8937,6790,,,,131.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6790,8937,,,,,,,,74,,,91.76,,120.77,,140.86,,01-Apr-18,,21,,,,,,,,,,,,,,,
CHI,01-Apr-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,01-Apr-18,,20,,,,,,,,,,,,,,,
CHI,31-Mar-18,,8836.5,,8836.5,6650,,,,132.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6650,8836.5,,,,,,,,0.74,,,"8,986.49",,"11,941.22",,"12,848.65",,25-Mar-18,,19,,,,,,,,,,,,,,,
CHI,30-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,25-Mar-18,,18,,,,,,,,,,,,,,,
CHI,29-Mar-18,,9625.5,,9625.5,7420,,,,129.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,7420,9625.5,,,,,,,,74,,,100.27,,130.07,,115.62,,25-Mar-18,,17,,,,,,,,,,,,,,,
CHI,28-Mar-18,,8383.5,,8383.5,6580,,,,127.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6580,8383.5,,,,,,,,74,,,88.92,,113.29,,100.70,,25-Mar-18,,16,,,,,,,,,,,,,,,
CHI,27-Mar-18,,9315,,9315,6970,,,,133.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6970,9315,,,,,,,,74,,,94.19,,125.88,,111.89,,25-Mar-18,,15,,,,,,,,,,,,,,,
CHI,26-Mar-18,,7762.5,,7762.5,5880,,,,132.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5880,7762.5,,,,,,,,64,,,91.88,,121.29,,107.81,,25-Mar-18,,14,,,,,,,,,,,,,,,
CHI,25-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,25-Mar-18,,13,,,,,,,,,,,,,,,
CHI,24-Mar-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,18-Mar-18,,12,,,,,,,,,,,,,,,
CHI,23-Mar-18,,6007.5,,6007.5,4410,,,,136.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4410,6007.5,,,,,,,,64,,,68.91,,93.87,,118.44,,18-Mar-18,,11,,,,,,,,,,,,,,,
CHI,22-Mar-18,,7074,,7074,5320,,,,133.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5320,7074,,,,,,,,64,,,,,,,,,18-Mar-18,,10,,,,,,,,,,,,,,,
CHI,21-Mar-18,,7555.5,,7555.5,6020,,,,125.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,6020,7555.5,,,,,,,,64,,,94.06,,118.05,,104.94,,18-Mar-18,,9,,,,,,,,,,,,,,,
CHI,20-Mar-18,,7762.5,,7762.5,5460,,,,142.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,5460,7762.5,,,,,,,,64,,,85.31,,121.29,,107.81,,18-Mar-18,,8,,,,,,,,,,,,,,,
